"","time","f1","b1","f2","b2","f3","b3","f4","b4","f1p","f2p","f3p","f4p","f0","intensity","harmonicity","age","gender"
"1",0.721234,660.5,353.8,2377.4,41.9,2909.4,396.2,4177.3,112.8,670.6,2537.1,3261,4449.7,232.2,62.4,-215.1,30,0
"2",0.723234,504.4,338.7,2379.4,66.7,2880.4,440.6,4184.5,143.4,665.1,2545.7,3262.6,4451.1,231.7,65.3,-213.4,30,0
"3",0.725234,405,219.1,2391.1,102.4,2911.6,494.7,4198.4,175.2,659.5,2554.1,3264,4452.1,231.2,69,-200,30,0
"4",0.727234,388.5,183.4,2439.6,123.6,3053.1,505.5,4204.9,210.4,654,2562.2,3265.1,4452.8,230.7,72.5,-168.1,30,0
"5",0.729234,438.5,213.9,2496.9,118.6,3150.3,438.5,4158.7,290,648.5,2570,3266,4453.1,230.2,75.5,-121,30,0
"6",0.731234,477.8,155.3,2538.8,121.1,3190.7,453.4,4069.6,371.2,643.1,2577.6,3266.6,4453,229.6,78.1,-68.8,30,0
"7",0.733234,480.3,124.6,2552,123.7,3199.4,485.4,4033.3,386,637.6,2585,3267,4452.6,229.1,80.2,-21.8,30,0
"8",0.735234,474.4,118,2552.3,122.4,3213.8,512.2,4060,394,632.2,2592,3267.1,4451.8,228.6,81.8,10,30,0
"9",0.737234,465,119.7,2549.5,117.3,3243,520.1,4116.7,374.7,626.8,2598.8,3266.9,4450.6,228.1,83.1,23,30,0
"10",0.739234,454.7,119.8,2546.5,110.4,3264.1,495.7,4153.1,317.8,621.4,2605.2,3266.5,4449,227.6,84,23.9,30,0
"11",0.741234,444.5,113.6,2545.2,102.2,3263.8,466.3,4166.7,278.6,616.1,2611.4,3265.8,4447,227.1,84.7,18.2,30,0
"12",0.743234,435.5,102.2,2547.4,91.2,3245.7,443.4,4169.9,251.2,610.8,2617.2,3264.9,4444.7,226.6,85.1,11.1,30,0
"13",0.745234,430.1,89,2551.9,81.2,3209.4,439,4164.6,227.3,605.5,2622.8,3263.7,4442,226.2,85.4,8.3,30,0
"14",0.747234,430.5,77.3,2557.3,79.6,3148.4,469.2,4150.4,209.6,600.3,2628,3262.3,4438.9,225.8,85.5,9.9,30,0
"15",0.749234,435.1,69.3,2564.7,87.1,3090.3,510.5,4130.4,189.1,595.2,2632.9,3260.6,4435.4,225.5,85.6,12.4,30,0
"16",0.751234,441,64.4,2575.9,96,3074.3,555.6,4113.3,171.4,590.1,2637.4,3258.6,4431.5,225.1,85.6,15.2,30,0
"17",0.753234,445.8,62,2586.7,97.7,3104.8,586.5,4102.2,167.3,585,2641.6,3256.4,4427.3,224.9,85.6,17.9,30,0
