time(s)	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)
0.083865	3	1079.281	2473.015	3446.641	--undefined--
0.102615	3	1083.255	2336.229	3474.936	--undefined--
0.121365	3	1174.401	2306.185	3496.867	--undefined--
0.140115	3	1227.770	2300.086	3481.328	--undefined--
0.158865	3	1108.685	2263.735	3346.165	--undefined--
0.177615	3	737.983	2018.870	3188.690	--undefined--
0.196365	4	707.925	2095.222	2118.976	3702.088
0.215115	4	696.138	1425.637	2726.014	3796.056
0.233865	4	520.965	1274.970	2874.731	3872.868
0.252615	3	156.201	1211.847	2847.590	--undefined--
0.271365	4	706.416	1321.434	2841.826	4211.568
0.290115	3	815.502	1611.658	3173.867	--undefined--
0.308865	3	782.084	1761.383	3239.623	--undefined--
0.327615	3	742.126	1919.549	3292.110	--undefined--
0.346365	4	684.401	1686.134	2873.236	4098.135
0.365115	4	742.508	1304.638	2725.412	3949.220
0.383865	3	1100.988	2444.735	3237.011	--undefined--
0.402615	3	1154.560	2836.678	3580.830	--undefined--
0.421365	3	1196.800	2828.331	4088.120	--undefined--
0.440115	3	1236.905	2816.695	4057.366	--undefined--
0.458865	3	1137.415	2889.535	4214.335	--undefined--
0.477615	3	1075.376	2580.590	3181.044	--undefined--
0.496365	3	1102.068	2639.446	3367.062	--undefined--
0.515115	3	1039.587	2607.414	3342.776	--undefined--
0.533865	3	966.253	2439.544	3233.430	--undefined--
0.552615	3	973.741	2246.822	3171.850	--undefined--
0.571365	3	963.490	2309.558	2954.992	--undefined--
0.590115	3	1006.043	2634.377	3167.828	--undefined--
0.608865	3	953.181	2676.665	3239.863	--undefined--
0.627615	3	983.918	2650.904	3147.323	--undefined--
0.646365	4	135.944	1435.469	2787.026	4489.416
0.665115	4	137.416	1469.718	2674.921	4280.052
0.683865	4	138.449	1641.271	2711.267	4101.862
0.702615	4	141.027	1563.973	2789.391	4218.305
0.721365	4	118.931	1335.393	2798.507	4215.136
0.740115	3	1067.237	2743.859	4069.253	--undefined--
0.758865	3	1103.829	2491.717	3390.323	--undefined--
0.777615	3	1048.993	2353.294	3204.288	--undefined--
0.796365	3	1002.431	2249.025	3242.223	--undefined--
0.815115	3	1031.128	2313.372	3289.953	--undefined--
0.833865	3	1013.753	2494.882	3237.506	--undefined--
0.852615	3	1069.825	2493.590	3237.433	--undefined--
0.871365	3	1095.445	2443.031	3426.449	--undefined--
0.890115	3	1096.590	2466.768	3476.521	--undefined--
0.908865	2	1130.583	2635.093	--undefined--	--undefined--
0.927615	2	1170.444	2736.815	--undefined--	--undefined--
0.946365	3	1147.890	2366.979	3342.729	--undefined--
0.965115	3	1065.083	2341.624	3318.310	--undefined--
0.983865	3	1001.448	2326.188	3629.840	--undefined--
1.002615	3	991.285	2185.709	3704.117	--undefined--
1.021365	3	1029.891	2420.956	3377.321	--undefined--
1.040115	3	934.836	2176.025	3339.721	--undefined--
1.058865	3	901.320	2185.639	3370.430	--undefined--
1.077615	3	941.172	2379.517	3304.536	--undefined--
1.096365	3	957.571	2167.369	3396.360	--undefined--
1.115115	3	1107.133	2482.187	3770.683	--undefined--
1.133865	3	1153.307	2636.541	3945.065	--undefined--
1.152615	3	1006.782	2244.638	3279.524	--undefined--
1.171365	3	967.285	2189.113	3255.162	--undefined--
1.190115	3	918.195	2232.441	3331.022	--undefined--
1.208865	3	910.691	2282.886	3448.687	--undefined--
1.227615	3	961.713	1995.852	3282.949	--undefined--
1.246365	3	1039.436	1616.440	2754.166	--undefined--
1.265115	4	878.946	1185.094	1695.542	3241.469
1.283865	3	990.560	1604.178	3155.277	--undefined--
1.302615	3	970.455	1581.504	3071.547	--undefined--
1.321365	3	978.007	1587.714	3084.596	--undefined--
1.340115	3	961.839	1601.097	3037.018	--undefined--
1.358865	3	988.069	1768.409	2993.936	--undefined--
1.377615	3	955.995	1751.440	3060.552	--undefined--
1.396365	3	874.247	1757.719	3079.794	--undefined--
1.415115	3	678.510	1748.652	3007.678	--undefined--
1.433865	3	654.597	1683.965	2895.244	--undefined--
1.452615	3	572.475	1711.652	2825.348	--undefined--
1.471365	3	468.716	1911.620	3003.425	--undefined--
1.490115	3	481.487	1944.028	3035.725	--undefined--
1.508865	3	436.214	1944.615	2984.808	--undefined--
1.527615	3	313.125	1876.266	3222.376	--undefined--
1.546365	4	363.408	1868.603	3243.759	4237.127
1.565115	4	476.639	1828.018	3270.493	4302.109
1.583865	3	496.829	2359.136	3669.352	--undefined--
1.602615	3	451.645	1878.494	3635.058	--undefined--
1.621365	3	616.967	1670.606	3434.739	--undefined--
1.640115	3	414.170	1743.202	3133.768	--undefined--
1.658865	3	363.857	2036.058	2770.631	--undefined--
1.677615	3	337.490	2113.220	2661.424	--undefined--
1.696365	3	336.825	1260.075	2600.048	--undefined--
1.715115	4	330.403	880.099	2519.953	3656.856
1.733865	4	308.013	810.576	2469.078	3588.502
1.752615	4	301.249	768.380	2532.193	3758.180
1.771365	3	319.045	906.985	2582.634	--undefined--
1.790115	3	540.035	928.862	2602.224	--undefined--
