time(s)	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)
0.083490	4	882.661	1991.655	3208.210	3639.235
0.103490	3	998.196	1962.511	3468.163	--undefined--
0.123490	3	1072.568	2037.754	3436.371	--undefined--
0.143490	3	944.916	2058.025	3359.299	--undefined--
0.163490	4	721.951	2095.331	2485.813	3955.178
0.183490	4	700.524	2094.667	2362.803	4066.964
0.203490	3	754.902	2032.677	3878.368	--undefined--
0.223490	4	729.171	2033.925	2221.738	3693.115
0.243490	3	883.075	2030.000	3335.432	--undefined--
0.263490	3	1390.873	1932.869	3193.772	--undefined--
0.283490	3	1323.544	2052.994	3158.449	--undefined--
0.303490	3	985.098	1940.390	3143.512	--undefined--
0.323490	3	785.887	1899.230	3200.402	--undefined--
0.343490	4	699.533	1815.059	2946.993	3240.329
0.363490	4	732.491	1703.921	2820.911	3235.555
0.383490	4	682.629	1613.448	2850.245	3179.749
0.403490	4	618.162	1592.231	2780.356	3181.488
0.423490	4	599.751	1564.131	3021.114	3186.825
0.443490	4	615.213	1553.311	3029.735	3765.582
0.463490	4	568.195	1531.121	2846.663	3801.119
0.483490	4	483.453	1539.296	2852.396	3604.103
0.503490	3	1530.308	2134.890	3099.287	--undefined--
0.523490	3	1467.898	2255.664	3216.000	--undefined--
0.543490	3	1354.809	2282.668	3359.925	--undefined--
0.563490	3	1249.753	2256.501	3521.520	--undefined--
0.583490	4	1242.209	2250.364	2475.559	3943.189
0.603490	3	1236.334	2267.924	3269.821	--undefined--
0.623490	4	939.296	1103.754	2428.552	4128.637
0.643490	4	843.271	1128.001	2300.995	3944.861
0.663490	4	746.862	1125.979	2254.630	3906.972
0.683490	4	537.890	1147.174	2260.415	3864.753
0.703490	4	532.596	1088.827	2249.233	3666.210
0.723490	4	545.041	1053.525	2387.051	3683.387
0.743490	4	524.317	1024.381	2554.796	3704.878
0.763490	4	503.846	1015.813	2756.079	3659.012
0.783490	3	639.642	872.603	2532.641	--undefined--
0.803490	3	1227.225	1474.380	2645.970	--undefined--
0.823490	3	1144.550	2539.975	3406.814	--undefined--
0.843490	3	1069.908	2445.915	3408.518	--undefined--
0.863490	3	1094.856	2393.907	3411.172	--undefined--
0.883490	4	655.035	1092.479	2781.811	3659.732
0.903490	4	503.436	1171.508	2437.297	3481.688
0.923490	4	518.780	1242.604	2416.109	3444.679
