time,f1,b1,f2,b2,f3,b3,f4,b4,f1p,f2p,f3p,f4p,f0,intensity,harmonicity
0.025234,409.1,429.3,1456.8,417.3,2054.7,293.5,3205.5,266.9,479.4,1290.7,2172,2742.6,0,31.3,-200
0.027234,437.7,394.0,1439.7,424.6,2040.0,236.8,3190.1,259.5,479.5,1291,2172,2742.8,0,31.9,-200
0.029234,466.6,377.0,1418.7,440.8,2035.5,214.5,3170.1,279.7,479.8,1291.6,2172.1,2743,0,32.3,-200
0.031234,486.4,361.8,1402.4,451.7,2043.1,224.9,3145.8,336.2,480.1,1292.4,2172.1,2743.3,0,32.5,-200
0.033234,487.6,353.5,1402.4,437.3,2065.1,265.3,3141.4,393.4,480.6,1293.4,2172.2,2743.7,0,32.6,-200
0.035234,471.5,363.6,1417.2,391.4,2104.9,328.8,3191.7,398.4,481.1,1294.6,2172.3,2744.2,0,32.6,-200
0.037234,451.2,406.2,1430.2,356.5,2145.7,401.5,3257.1,314.1,481.8,1296.1,2172.4,2744.7,0,32.6,-200
0.039234,450.4,510.5,1443.9,385.4,2193.5,518.2,3282.3,227.7,482.5,1297.7,2172.5,2745.4,0,32.5,-200
0.041234,496.7,682.3,1472.1,468.2,2316.2,659.7,2399.5,4144.5,483.4,1299.6,2172.6,2746.1,0,32.3,-200
0.043234,565.3,735.0,1464.4,509.6,1694.1,3246.9,2450.7,623.9,484.3,1301.7,2172.7,2746.9,0,32,-200
0.045234,563.6,582.1,1369.1,429.0,2045.7,2079.1,2490.6,576.1,485.3,1303.9,2172.8,2747.8,0,31.7,-200
0.047234,551.7,449.4,1324.9,298.2,2322.5,1502.6,2444.9,607.1,486.4,1306.4,2172.9,2748.8,0,31.5,-200
0.049234,542.5,384.2,1324.7,231.1,2367.3,587.5,2434.0,1253.8,487.6,1309,2173.1,2749.8,0,31.3,-200
0.051234,531.1,359.5,1340.7,194.3,2355.2,524.1,2391.3,1204.0,488.9,1311.8,2173.2,2750.9,0,31.3,-200
0.053234,515.6,366.3,1358.1,171.2,2319.5,1240.6,2378.4,458.0,490.3,1314.8,2173.3,2752.1,0,31.6,-200
0.055234,495.4,405.1,1370.9,162.9,2267.0,1267.8,2418.4,393.1,491.7,1318,2173.4,2753.3,0,32.3,-200
0.057234,486.1,478.4,1379.3,182.0,2258.3,1328.6,2454.0,333.5,493.3,1321.2,2173.5,2754.7,0,33.2,-200
0.059234,508.3,600.9,1390.8,232.6,2317.7,1727.6,2462.7,272.0,494.9,1324.7,2173.5,2756,0,34.3,-200
0.061234,564.2,722.1,1400.4,292.6,2461.9,216.7,2498.5,2727.6,496.5,1328.2,2173.6,2757.5,0,35.2,-200
0.063234,606.1,770.4,1390.0,331.4,2461.3,182.2,2890.6,3902.9,498.3,1331.9,2173.6,2758.9,0,35.9,-200
0.065234,603.5,816.0,1354.4,349.1,2461.2,161.6,3095.0,4126.5,500.1,1335.7,2173.6,2760.5,0,36.4,-200
0.067234,566.2,913.5,1310.0,355.0,2463.1,155.0,2884.6,3850.5,501.9,1339.7,2173.6,2762.1,0,36.6,-200
