time(s)	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)
0.028109	3	1140.709	2325.756	3601.849	--undefined--
0.034359	3	1290.249	2365.297	3747.480	--undefined--
0.040609	3	1389.949	2385.269	3804.302	--undefined--
0.046859	3	1407.579	2556.875	3838.659	--undefined--
0.053109	3	1394.354	2516.054	3669.608	--undefined--
0.059359	3	1345.521	2134.235	3427.216	--undefined--
0.065609	3	1638.672	2282.627	3489.673	--undefined--
0.071859	3	1561.473	2509.808	3427.096	--undefined--
0.078109	3	1444.156	2450.434	3689.443	--undefined--
0.084359	3	1317.332	2476.132	3625.697	--undefined--
0.090609	3	1422.663	2461.596	3718.231	--undefined--
0.096859	3	1720.130	2468.803	3841.291	--undefined--
0.103109	3	298.352	2093.821	3117.683	--undefined--
0.109359	3	864.934	2121.885	3188.459	--undefined--
0.115609	3	886.515	2140.417	3202.517	--undefined--
0.121859	3	850.893	2097.721	3391.346	--undefined--
0.128109	3	685.069	2079.740	3547.403	--undefined--
0.134359	3	755.408	2077.268	3578.169	--undefined--
0.140609	3	770.423	2116.957	3519.190	--undefined--
0.146859	3	841.796	2078.681	3318.904	--undefined--
0.153109	3	987.999	2041.598	3236.011	--undefined--
0.159359	3	1055.869	2043.796	3196.651	--undefined--
0.165609	3	1149.254	2061.102	3182.036	--undefined--
0.171859	3	1023.631	2009.594	3146.901	--undefined--
0.178109	3	1714.975	2044.190	3427.086	--undefined--
0.184359	3	1113.173	2204.401	3415.752	--undefined--
0.190609	3	1155.025	2433.129	3491.006	--undefined--
0.196859	3	895.990	2270.436	3562.767	--undefined--
0.203109	3	949.126	2341.492	3513.503	--undefined--
0.209359	3	957.871	2445.913	3424.925	--undefined--
0.215609	3	808.146	2431.190	3536.365	--undefined--
0.221859	3	576.729	2191.331	3320.512	--undefined--
0.228109	2	1199.252	2320.946	--undefined--	--undefined--
0.234359	3	852.929	2219.429	2624.752	--undefined--
0.240609	3	885.364	2116.451	3186.795	--undefined--
0.246859	3	820.129	2110.532	2964.001	--undefined--
0.253109	3	705.314	2125.360	3016.953	--undefined--
0.259359	3	828.998	2136.321	3063.151	--undefined--
0.265609	3	1316.871	2762.974	3669.844	--undefined--
0.271859	3	995.606	1808.153	3277.379	--undefined--
0.278109	3	1447.022	2470.601	3899.303	--undefined--
0.284359	3	2067.084	3008.190	4000.195	--undefined--
0.290609	3	2039.738	3409.012	4105.226	--undefined--
0.296859	4	2005.939	2943.281	3855.827	4252.673
0.303109	4	1952.066	2776.249	3863.545	4213.781
0.309359	4	1947.967	2751.780	3812.473	4211.414
0.315609	4	1960.683	2750.335	3545.895	4242.709
0.321859	4	1948.460	2726.386	3588.721	4212.610
0.328109	4	1941.635	2735.369	3838.745	4315.641
0.334359	4	1955.094	2647.120	3990.371	4345.204
0.340609	3	1944.721	2670.157	4118.529	--undefined--
0.346859	3	1962.346	2744.899	4096.587	--undefined--
0.353109	4	131.561	2042.550	2800.593	4178.478
0.359359	4	411.202	1980.687	2734.615	4202.856
0.365609	4	425.763	1974.502	2739.257	4160.704
0.371859	4	464.551	1958.351	2744.403	4133.613
0.378109	4	576.438	1936.825	2745.238	4158.171
0.384359	4	613.125	1917.681	2736.522	4229.086
0.390609	4	641.789	1913.855	2712.389	4237.576
0.396859	4	670.663	1876.615	2728.832	4169.291
0.403109	4	672.137	1802.229	2759.526	4095.926
0.409359	4	662.786	1740.697	2769.741	4077.989
0.415609	4	642.547	1707.924	2774.678	4074.464
0.421859	4	539.665	1688.040	2918.872	4055.193
0.428109	4	498.770	1694.973	3016.484	4012.916
0.434359	4	474.775	1717.900	2945.340	3986.405
0.440609	4	481.596	1715.289	3008.279	3938.585
0.446859	4	390.975	1743.102	3135.508	3840.556
0.453109	4	386.360	1681.866	3175.736	3662.968
0.459359	4	391.953	1671.175	3182.803	3253.853
0.465609	4	360.511	1671.188	2865.902	3180.976
0.471859	4	385.117	1696.050	3100.745	3239.251
0.478109	4	391.744	1778.623	2989.418	3589.908
0.484359	4	402.568	1803.645	2924.874	3837.954
0.490609	4	394.746	1888.138	2827.927	3837.354
0.496859	4	414.655	2270.000	2608.377	3827.884
0.503109	4	441.178	2315.228	2747.966	3802.182
0.509359	4	436.669	2303.558	3236.371	3779.320
0.515609	4	430.885	2185.168	3177.826	4025.404
0.521859	4	459.200	2097.158	3111.025	4035.687
0.528109	4	451.904	2022.867	2483.520	4147.184
0.534359	4	412.213	1729.358	2785.360	4180.851
0.540609	4	383.737	1651.335	2866.814	4170.779
0.546859	4	299.265	1665.392	2876.164	4100.952
0.553109	4	277.254	1641.604	2862.487	4133.628
0.559359	4	294.706	1583.392	2833.480	4067.392
0.565609	4	267.189	1609.629	2730.752	4078.909
0.571859	4	236.122	1557.647	2869.373	4056.696
0.578109	4	229.657	1518.731	2946.310	4188.429
0.584359	4	198.634	1444.432	2762.359	4129.605
0.590609	4	238.974	1488.801	2890.337	4158.121
0.596859	4	342.454	1392.158	2821.692	3996.901
0.603109	4	602.841	1413.012	2882.305	3970.085
0.609359	4	775.534	1516.790	2894.303	4011.954
0.615609	4	837.730	1417.765	2875.280	4096.116
0.621859	4	925.712	1250.464	3056.765	4067.557
0.628109	4	911.627	1084.968	3155.140	3981.979
0.634359	4	622.651	1098.219	3116.364	3936.335
0.640609	3	1115.698	3047.675	3866.208	--undefined--
0.646859	3	1140.842	2875.104	4013.316	--undefined--
0.653109	3	1146.739	2840.809	4036.413	--undefined--
0.659359	3	1169.873	2811.574	3886.372	--undefined--
0.665609	3	1184.114	2804.774	3715.034	--undefined--
0.671859	3	1174.766	2765.869	3555.514	--undefined--
0.678109	3	1083.440	2678.492	3488.753	--undefined--
0.684359	3	976.301	2609.318	3446.777	--undefined--
0.690609	3	1478.169	2692.352	3489.273	--undefined--
0.696859	3	1605.834	2777.892	3781.690	--undefined--
0.703109	4	1120.061	1661.863	2785.749	3977.364
0.709359	4	1027.358	1823.311	2870.053	4039.305
0.715609	4	879.887	1892.695	2829.192	3962.477
0.721859	4	803.810	1931.778	2805.521	3696.790
0.728109	4	626.429	2045.858	2798.906	3530.231
0.734359	4	456.750	2084.511	2783.049	3509.201
0.740609	4	368.770	2055.696	2649.470	3373.395
0.746859	4	363.147	2037.144	2511.273	3476.701
0.753109	4	381.808	2058.325	2573.567	3315.748
0.759359	4	402.231	1967.334	2649.566	3163.795
0.765609	4	338.306	1947.520	2484.603	3381.339
0.771859	4	297.040	1921.665	2381.068	3374.470
0.778109	4	173.170	1981.512	2737.572	2986.953
0.784359	3	410.121	1972.978	2848.965	--undefined--
0.790609	3	403.258	1916.938	2853.901	--undefined--
0.796859	4	405.917	1610.225	2776.710	3995.058
0.803109	4	403.896	2446.540	2941.210	4016.149
0.809359	4	333.192	2476.904	3228.014	4065.119
0.815609	4	371.562	2441.779	3288.275	4123.897
0.821859	4	486.709	2325.195	3271.160	4151.831
0.828109	4	490.117	2190.916	3241.783	4150.179
0.834359	4	393.401	2243.123	3193.326	4130.624
0.840609	4	338.449	2210.733	3098.819	4002.473
0.846859	4	307.008	2199.742	2797.483	3976.013
0.853109	4	474.853	2170.242	2714.152	4010.663
0.859359	4	553.471	2106.665	2746.379	4004.577
0.865609	4	506.982	1911.950	2720.091	3993.474
