time(s)	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)
0.027359	3	963.698	1928.135	4249.520	--undefined--
0.033609	2	994.679	2003.516	--undefined--	--undefined--
0.039859	2	1040.253	2297.173	--undefined--	--undefined--
0.046109	2	1025.609	2367.262	--undefined--	--undefined--
0.052359	2	994.260	2090.320	--undefined--	--undefined--
0.058609	2	1023.793	2114.237	--undefined--	--undefined--
0.064859	2	748.993	2100.933	--undefined--	--undefined--
0.071109	2	731.872	2074.385	--undefined--	--undefined--
0.077359	3	778.579	1996.650	2929.978	--undefined--
0.083609	3	1138.740	2068.538	2987.258	--undefined--
0.089859	3	899.111	2091.331	3053.693	--undefined--
0.096109	3	840.622	2098.397	3296.479	--undefined--
0.102359	3	724.106	1986.257	3284.359	--undefined--
0.108609	3	543.668	1630.840	3109.001	--undefined--
0.114859	3	330.884	1510.288	3105.441	--undefined--
0.121109	3	546.235	1700.876	3060.394	--undefined--
0.127359	3	868.968	1888.095	3229.721	--undefined--
0.133609	3	782.132	2017.032	3233.700	--undefined--
0.139859	3	1007.977	1969.200	2978.155	--undefined--
0.146109	3	1033.019	1907.869	3120.239	--undefined--
0.152359	3	1034.200	1950.132	3098.039	--undefined--
0.158609	3	1133.936	2114.051	3217.311	--undefined--
0.164859	3	1091.377	2061.047	3105.133	--undefined--
0.171109	3	912.882	2190.938	3221.930	--undefined--
0.177359	3	884.129	2102.374	3248.040	--undefined--
0.183609	3	985.463	2002.484	3181.633	--undefined--
0.189859	2	1543.331	2658.228	--undefined--	--undefined--
0.196109	3	454.746	1676.162	2917.633	--undefined--
0.202359	3	548.873	1770.111	2985.761	--undefined--
0.208609	3	468.363	1920.820	3054.076	--undefined--
0.214859	3	974.813	1854.567	2941.733	--undefined--
0.221109	3	945.517	1775.097	2981.242	--undefined--
0.227359	3	399.849	1848.222	3105.248	--undefined--
0.233609	3	994.745	1942.564	3090.271	--undefined--
0.239859	3	1313.066	2038.316	3247.954	--undefined--
0.246109	3	1167.012	2064.961	3322.088	--undefined--
0.252359	3	851.654	2048.597	3227.222	--undefined--
0.258609	3	630.032	1889.461	3036.704	--undefined--
0.264859	4	627.741	1416.607	2585.356	3811.735
0.271109	4	636.216	1430.613	2590.950	3778.984
0.277359	4	677.621	1467.935	2494.340	3781.826
0.283609	4	671.668	1463.182	2457.661	3790.324
0.289859	4	659.888	1421.000	2486.594	3745.312
0.296109	4	656.404	1424.025	2514.087	3736.396
0.302359	4	661.643	1427.237	2500.689	3721.291
0.308609	4	664.414	1440.160	2537.142	3720.444
0.314859	4	659.586	1477.884	2442.946	3675.738
0.321109	4	649.160	1484.587	2405.783	3702.880
0.327359	4	642.302	1480.378	2399.316	3701.567
0.333609	4	664.999	1498.127	2531.769	3590.840
0.339859	4	692.598	1514.429	2606.506	3572.253
0.346109	4	683.691	1541.717	2611.840	3522.955
0.352359	4	665.292	1551.062	2572.343	3497.633
0.358609	4	647.692	1563.253	2552.290	3479.016
0.364859	4	640.868	1567.807	2646.074	3454.474
0.371109	4	644.566	1554.419	2573.750	3460.311
0.377359	4	653.275	1561.706	2559.928	3507.157
0.383609	4	621.488	1584.524	2581.314	3511.153
0.389859	4	602.426	1593.037	2508.320	3444.812
0.396109	4	560.244	1560.575	2495.326	3469.659
0.402359	4	511.798	1566.092	2492.207	3392.471
0.408609	4	506.445	1529.137	2470.447	3386.330
0.414859	4	455.491	1533.260	2380.337	3461.605
0.421109	4	468.565	1602.843	2441.391	3636.801
0.427359	4	483.674	1622.583	2401.786	3657.481
0.433609	4	500.177	1673.712	2543.331	3602.810
0.439859	4	511.271	1686.385	2553.737	3577.957
0.446109	4	516.205	1658.076	2513.096	3658.466
0.452359	4	515.950	1663.323	2492.911	3709.106
0.458609	4	514.670	1665.168	2500.321	3719.031
0.464859	4	515.589	1651.735	2494.473	3678.101
0.471109	4	494.621	1673.039	2415.457	3774.523
0.477359	4	508.585	1674.527	2439.397	3871.633
0.483609	4	500.438	1657.327	2518.104	3785.993
0.489859	4	525.523	1767.232	2751.838	3764.206
0.496109	4	580.976	1765.218	3140.438	3790.186
0.502359	4	600.336	1737.812	3079.325	4076.382
