time,f1,b1,f2,b2,f3,b3,f4,b4,f1p,f2p,f3p,f4p,f0,intensity,harmonicity
0.025234,762.3,222.2,1534.6,221.3,2371.9,254.8,4148.4,5.2,622.9,1272.1,2093.9,2973.3,0,-76.4,-200
0.027234,790.5,283.3,1509.4,308.3,2286.2,392.9,4148.7,2.2,623.2,1272.2,2094.3,2974,0,-74.2,-200
0.029234,872.2,350.3,1559.9,416.0,2391.8,517.8,4148.7,1.5,623.6,1272.2,2094.8,2975.1,0,-72.4,-200
0.031234,964.7,259.8,1625.3,330.1,2491.3,353.7,4148.7,1.8,624.3,1272.3,2095.6,2976.6,0,-71,-200
0.033234,989.3,175.1,1634.5,278.9,2524.8,293.9,4148.7,3.2,625.1,1272.3,2096.7,2978.5,0,-69.5,-200
0.035234,996.4,126.7,1651.9,275.5,2552.2,302.4,4149.1,6.4,626.1,1272.4,2097.9,2980.8,0,-68.1,-200
0.057234,852.5,1812.9,1130.1,364.4,2071.9,1728.4,2536.0,383.1,627.3,1272.5,2099.4,2983.6,0,-45.6,-200
0.059234,637.3,963.8,1187.4,259.8,2158.1,772.1,2608.8,365.6,628.7,1272.6,2101.2,2986.8,0,-42.1,-200
0.061234,566.8,675.5,1192.4,185.8,2103.6,531.4,2640.0,272.6,630.3,1272.7,2103.1,2990.4,0,-39.2,-200
0.063234,526.2,531.8,1182.0,154.7,2068.9,458.5,2647.8,232.7,632,1272.9,2105.3,2994.4,0,-36.3,-200
0.065234,497.1,463.0,1164.5,150.0,2040.3,444.2,2649.8,221.0,633.9,1273,2107.6,2998.9,0,-34,-200
0.067234,473.4,442.6,1141.5,163.6,2015.6,448.5,2644.9,219.6,636,1273.2,2110.2,3003.7,0,-32,-200
0.069234,454.4,450.1,1116.0,187.8,1996.9,453.6,2634.5,221.5,638.2,1273.3,2113,3009,0,-12.6,-200
0.071234,441.1,470.7,1089.7,219.5,1979.2,462.7,2622.4,230.8,640.7,1273.5,2116.1,3014.6,0,-11.5,-200
0.073234,443.5,496.5,1074.1,251.8,1961.5,481.5,2617.2,263.7,643.2,1273.6,2119.3,3020.7,0,-23.5,-200
0.075234,466.5,525.0,1073.8,279.6,1954.0,482.2,2635.6,342.0,646,1273.8,2122.7,3027.1,0,-11.6,-200
0.077234,465.8,567.2,1070.7,296.4,1961.0,421.0,2687.3,437.9,648.9,1273.9,2126.3,3033.9,0,-10.8,-200
0.079234,362.1,605.5,1047.8,311.0,1971.0,358.5,2733.3,510.0,652,1274,2130.2,3041.1,0,-5.6,-200
0.081234,289.9,506.8,1020.9,358.8,1988.5,323.5,2779.3,603.4,655.2,1274.2,2134.2,3048.7,0,-1.4,-200
0.083234,273.0,452.7,995.8,429.4,2003.6,319.8,2858.1,710.6,658.6,1274.3,2138.4,3056.7,0,2.1,-200
0.085234,261.9,467.3,985.7,492.9,2012.0,300.8,2937.8,615.0,662.1,1274.4,2142.7,3065,0,5.2,-200
0.087234,244.3,511.9,987.4,520.9,2010.8,265.9,2945.8,468.8,665.7,1274.5,2147.3,3073.7,0,7.7,-200
0.089234,206.5,593.3,989.9,525.2,2008.9,239.6,2943.5,381.5,669.5,1274.5,2152,3082.7,0,9.9,-200
0.093234,727.4,1938.2,955.6,573.2,2016.1,231.3,2944.0,321.9,673.4,1274.5,2156.9,3092.1,0,12.8,-200
0.095234,890.5,544.7,1229.1,1555.1,2031.0,259.7,2944.2,333.3,677.5,1274.6,2162,3101.8,0,13.6,-200
0.097234,877.9,477.4,1477.4,1221.5,2063.9,314.8,2948.5,355.8,681.6,1274.5,2167.2,3111.8,0,14.1,-200
0.099234,899.0,467.7,1553.1,970.7,2119.7,362.2,2962.0,368.0,685.9,1274.5,2172.5,3122.2,0,14.2,-200
0.101234,938.8,484.7,1547.9,831.2,2184.4,363.2,2984.9,358.2,690.3,1274.4,2178,3132.8,0,14,-200
0.103234,979.2,483.1,1530.5,780.1,2229.9,339.1,3009.6,333.8,694.8,1274.2,2183.7,3143.8,0,13.3,-200
0.105234,1003.9,450.4,1538.0,759.6,2257.7,325.6,3034.0,315.1,699.5,1274.1,2189.4,3155.1,0,12.3,-200
0.107234,1013.2,423.7,1565.3,739.8,2280.6,344.0,3061.7,324.4,704.2,1273.8,2195.3,3166.6,0,10.9,-200
0.109234,1010.8,463.2,1560.7,725.7,2313.4,393.5,3091.2,379.1,709,1273.5,2201.4,3178.5,0,9.1,-200
0.111234,940.1,676.6,1450.1,641.5,2360.4,425.1,3117.3,479.2,713.9,1273.2,2207.5,3190.6,0,6.9,-200
0.113234,753.3,646.8,1387.9,445.0,2402.0,373.0,3149.1,543.0,718.9,1272.8,2213.7,3203,0,4.4,-200
0.115234,738.7,581.9,1374.8,379.0,2420.3,291.5,3184.5,521.4,723.9,1272.4,2220.1,3215.6,0,1.8,-200
0.117234,773.2,565.5,1376.4,377.6,2419.1,242.3,3196.6,484.2,729,1271.8,2226.5,3228.5,0,-0.6,-200
0.119234,824.6,532.0,1394.0,426.9,2411.0,233.8,3189.9,479.7,734.2,1271.2,2233,3241.6,0,-2.7,-200
0.121234,876.5,455.7,1442.9,524.3,2398.1,264.8,3173.1,519.9,739.5,1270.6,2239.6,3255,0,-4.2,-200
0.123234,899.9,381.3,1514.8,602.4,2381.0,331.1,3158.6,601.7,744.8,1269.8,2246.3,3268.5,0,-3.9,-200
0.125234,906.4,354.6,1569.8,640.7,2359.9,414.6,3161.0,715.9,750.2,1269,2253.1,3282.3,0,-3.5,-200
0.127234,913.6,370.7,1606.2,700.9,2331.6,510.8,3191.0,885.6,755.6,1268.1,2259.9,3296.2,0,-6.9,-200
0.129234,933.8,422.3,1664.3,917.2,2273.7,663.9,3248.6,1231.8,761,1267.1,2266.7,3310.4,0,-11.1,-200
0.131234,493.8,1460.3,1015.2,492.5,2033.1,554.5,2655.0,1436.3,766.5,1266,2273.6,3324.7,0,-13.6,-200
0.133234,550.6,582.4,1086.5,329.3,2011.6,324.0,2752.2,981.1,772,1264.8,2280.6,3339.2,0,-16.2,-200
0.135234,533.1,360.5,1076.0,197.6,1999.5,264.5,2757.3,775.7,777.5,1263.6,2287.6,3353.8,0,-18.8,-200
0.137234,527.4,293.9,1057.7,139.0,1966.3,292.8,2719.0,559.2,783,1262.2,2294.6,3368.6,0,-20.8,-200
0.139234,537.9,300.1,1047.3,116.1,1915.5,316.2,2693.3,401.8,788.6,1260.7,2301.6,3383.5,0,-22.1,-200
0.141234,565.9,331.8,1043.8,103.6,1873.5,312.5,2679.4,320.2,794.1,1259.2,2308.6,3398.6,0,-25.7,-200
0.143234,607.8,360.1,1045.0,98.8,1855.6,315.8,2671.2,299.1,799.7,1257.5,2315.7,3413.8,0,-27.4,-200
0.145234,649.3,383.1,1045.9,100.3,1858.8,342.3,2668.3,321.7,805.2,1255.7,2322.7,3429,0,-28.6,-200
0.147234,675.9,423.8,1041.5,105.8,1881.6,391.2,2671.2,398.9,810.8,1253.8,2329.8,3444.4,0,-31.4,-200
0.149234,682.7,500.6,1031.4,112.9,1922.2,443.1,2682.7,562.0,816.3,1251.8,2336.8,3459.8,0,-33.3,-200
0.151234,676.6,642.4,1017.3,125.0,1982.9,469.3,2726.4,943.2,821.8,1249.6,2343.9,3475.4,0,-36,-200
0.153234,673.8,868.5,1003.0,151.3,2025.0,452.9,2902.1,1697.9,827.2,1247.4,2350.9,3490.9,0,-38.6,-200
0.155234,690.1,1194.6,988.9,204.3,2018.5,513.4,3293.0,2512.2,832.6,1245,2357.8,3506.6,0,-41.6,-200
0.157234,753.8,1656.6,973.9,276.5,1992.7,698.3,3589.7,2964.3,838,1242.5,2364.8,3522.3,0,-44.6,-200
0.175234,994.8,33.9,1919.5,157.7,2692.8,727.3,4149.2,7.0,843.4,1239.9,2371.7,3538,0,-66.7,-200
0.177234,989.9,34.0,1935.4,139.9,2742.7,804.3,4148.8,3.5,848.7,1237.2,2378.5,3553.7,0,-68.8,-200
0.179234,981.0,43.1,1944.3,157.9,2798.2,1075.4,4148.7,2.3,853.9,1234.4,2385.4,3569.5,0,-70.9,-200
0.181234,965.7,62.7,1965.0,227.6,2930.4,2433.6,4148.7,2.1,859.1,1231.4,2392.1,3585.2,0,-72.9,-200
0.183234,940.7,80.0,1739.1,1138.3,2086.7,479.7,4148.6,3.3,864.2,1228.3,2398.8,3601,0,-75.5,-200
0.185234,914.6,75.2,1586.5,478.1,2434.0,268.4,4147.9,8.1,869.2,1225.1,2405.4,3616.7,0,-79.3,-200
0.187234,902.1,76.7,1527.6,379.4,2565.2,59.5,4139.2,10.7,874.2,1221.7,2412,3632.4,0,-83.2,-200
0.189234,914.3,114.5,1378.4,567.0,2591.2,14.7,4137.3,3.3,879.1,1218.2,2418.5,3648,0,-86.7,-200
0.191234,969.6,113.7,1072.3,1130.7,2595.1,7.3,4137.2,1.9,884,1214.6,2424.9,3663.7,0,-91.1,-200
0.193234,974.0,1350.4,976.8,93.7,2595.4,6.5,4137.2,1.8,888.7,1210.9,2431.2,3679.2,0,-95.8,-200
0.195234,965.6,1369.4,977.2,92.1,2595.4,6.5,4137.2,1.8,893.3,1207.1,2437.4,3694.7,0,-101.4,-200
0.197234,965.2,1370.2,977.2,92.1,2595.4,6.5,4137.2,1.8,897.9,1203.1,2443.6,3710.2,0,-109.3,-200
0.199234,965.2,1370.1,977.2,92.1,2595.4,6.5,4137.2,1.8,902.4,1199,2449.6,3725.5,0,-155.1,-200
0.201234,965.2,1369.9,977.2,92.1,2595.4,6.5,4137.2,1.8,906.7,1194.8,2455.6,3740.8,0,-300,-200
0.203234,965.2,1369.8,977.2,92.1,2595.4,6.5,4137.2,1.8,911,1190.4,2461.5,3755.9,0,-300,-200
0.205234,965.3,1369.6,977.2,92.2,2595.4,6.5,4137.2,1.8,915.2,1186,2467.2,3771,0,-300,-200
0.207234,965.3,1369.5,977.2,92.2,2595.4,6.5,4137.2,1.8,919.3,1181.4,2472.9,3785.9,0,-300,-200
0.209234,965.3,1369.4,977.2,92.2,2595.4,6.5,4137.2,1.8,923.2,1176.8,2478.4,3800.7,0,-300,-200
0.211234,965.3,1369.2,977.2,92.2,2595.4,6.6,4137.2,1.8,927.1,1172,2483.9,3815.4,0,-300,-200
