speaker_number	speaker_gender	praat_param
1	female	NA
2	female	NA
3	female	NA
4	female	NA
5	female	NA
6	female	NA
7	female	NA
8	female	NA
9	female	NA
1	male	NA
2	male	NA
3	male	NA
4	male	NA
5	male	NA
6	male	NA
7	male	NA
8	male	NA
9	male	NA
10	male	NA
11	male	NA
12	male	NA
13	male	NA
14	male	NA
15	male	NA
16	male	NA
17	male	NA
18	male	NA
19	male	NA
20	male	NA
21	male	NA
22	male	NA
23	male	NA
24	male	NA
25	male	NA
26	male	NA
27	male	NA
28	male	NA
29	male	NA
30	male	NA
31	male	NA
32	male	NA
33	male	NA
34	male	NA
35	male	NA
36	male	NA
37	male	NA
38	male	NA
39	male	NA
40	male	NA
41	male	NA
42	male	NA
43	male	NA
